timestamp,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2022-09-23 02:00:00,102.09920411493658,22.58257721395823,79.51662690097835
2022-09-23 03:00:00,106.4935341853161,21.581525827470188,84.9120083578459
2022-09-23 04:00:00,110.1905901186874,20.222865408673186,89.96772471001421
2022-09-23 05:00:00,107.4519235124244,13.987359041928158,93.46456447049624
2022-09-23 06:00:00,102.16719128800469,6.962101454006756,95.20508983399793
2022-09-23 07:00:00,88.31884334821007,-5.508997188630289,93.82784053684036
2022-09-23 08:00:00,64.12177481021354,-23.764852581301454,87.88662739151499
2022-09-23 09:00:00,45.49419376408696,-33.913946901942424,79.40814066602938
2022-09-23 10:00:00,20.729061106707377,-46.94326364745761,67.67232475416499
2022-09-23 11:00:00,-6.84737115884127,-59.61575673040501,52.76838557156374
2022-09-23 12:00:00,-25.67850901750353,-62.75751567125381,37.079006653750284
2022-09-23 13:00:00,-60.960129744169535,-78.43130911833586,17.47117937416632
2022-09-23 14:00:00,-84.90031544461453,-81.89719585502468,-3.0031195895898524
2022-09-23 15:00:00,-99.54632628748004,-77.23456535831215,-22.311760929167892
2022-09-23 16:00:00,-105.63483818673194,-66.65846180605124,-38.976376380680705
2022-09-23 17:00:00,-108.69068268686533,-55.7714450449477,-52.91923764191763
2022-09-23 18:00:00,-120.84679239281832,-54.342043800720546,-66.50474859209777
2022-09-23 19:00:00,-115.23295478474392,-38.982564954116924,-76.250389830627
2022-09-23 20:00:00,-106.13911671819369,-23.910981510053347,-82.22813520814034
2022-09-23 21:00:00,-85.13694596271307,-2.3270486036581843,-82.80989735905489
2022-09-23 22:00:00,-41.746220203142,32.85094172473032,-74.59716192787232
2022-09-23 23:00:00,-10.840708907715452,51.0051624161255,-61.84587132384095
2022-09-24 00:00:00,2.13700745089227,51.18630301978658,-49.04929556889431
2022-09-24 01:00:00,10.03080793184563,47.26408280059196,-37.23327486874633
2022-09-24 02:00:00,16.731297676957183,43.17165803656281,-26.440360359605627
