timestamp,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-02-19 11:00:00,9960.602976193377,10109.103500000001,10257.604023806625,2.9379563441332692,0.8498523013134455
2020-02-19 12:00:00,9995.32379978586,10118.4935,10241.663200214141,2.434546214100763,0.49024313611293335
2020-02-19 13:00:00,10030.294087424792,10127.1625,10224.030912575208,1.9130415370585376,0.49436090686862216
2020-02-19 14:00:00,10057.355142925519,10133.6235,10209.89185707448,1.505253418473287,0.4500218682267219
2020-02-19 15:00:00,10070.188540106688,10137.164999999999,10204.14145989331,1.3214041577366193,0.4004500982790002
2020-02-19 16:00:00,10070.179312515447,10137.1765,10204.173687484552,1.3218116007855312,0.7260803858892181
2020-02-19 17:00:00,10070.074240158398,10138.344500000001,10206.614759841605,1.346773328556818,0.7162398390492652
2020-02-19 18:00:00,10067.56449246636,10139.614,10211.66350753364,1.4211489221116362,0.9460544020373008
2020-02-19 19:00:00,10067.93884820032,10138.4285,10208.91815179968,1.3905439447480517,0.5864062999957664
2020-02-19 20:00:00,10070.837640686646,10140.727499999999,10210.617359313352,1.378399317274873,0.6234978877450872
2020-02-19 21:00:00,9876.43535420553,10115.428,10354.42064579447,4.725309612098853,-0.5427475672800259
2020-02-19 22:00:00,9791.377526862938,10091.980500000001,10392.583473137065,5.957264248321993,-0.16529697931102214
2020-02-19 23:00:00,9695.020208796383,10063.717,10432.413791203619,7.327248792938393,-0.13747096695018404
2020-02-20 00:00:00,9625.669460470734,10039.019499999999,10452.369539529263,8.234868744487745,0.002395717116080987
2020-02-20 01:00:00,9560.52026696587,10012.8465,10465.17273303413,9.034917953333839,0.047023287538266165
2020-02-20 02:00:00,9500.649023019816,9988.254,10475.858976980186,9.763567826372553,0.08760265072484652
2020-02-20 03:00:00,9445.536445738477,9963.5725,10481.608554261524,10.398600587520662,0.12409710984770113
2020-02-20 04:00:00,9399.756066350714,9934.2145,10468.672933649286,10.759953565514138,0.17023207249891673
2020-02-20 05:00:00,9357.128152796009,9906.530999999999,10455.933847203989,11.091730237436092,0.19409423184587538
2020-02-20 06:00:00,9328.518748139573,9881.023000000001,10433.527251860429,11.183138666116408,0.26554660065725005
2020-02-20 07:00:00,9308.038914774123,9850.7415,10393.444085225878,11.018512367335546,0.27578741411494134
2020-02-20 08:00:00,9284.327108708201,9824.287,10364.2468912918,10.992347664350584,0.28027349454390466
2020-02-20 09:00:00,9269.12587035723,9798.345,10327.56412964277,10.802214652428956,0.3194367991487713
2020-02-20 10:00:00,9259.629394592757,9772.524000000001,10285.418605407245,10.49666606922109,0.3411525503659548
2020-02-20 11:00:00,9251.717613114262,9744.980500000001,10238.24338688574,10.12342481107559,0.32562999916122853
2020-02-20 12:00:00,9256.100315989996,9714.857,10173.613684010004,9.44443513702784,0.3366704996098412
2020-02-20 13:00:00,9275.17742034241,9686.248499999998,10097.319579657586,8.487725245900677,0.38986272145997003
2020-02-20 14:00:00,9319.857978255737,9656.2365,9992.615021744265,6.967072973912014,0.4218343375086522
2020-02-20 15:00:00,9378.10670471464,9627.567,9877.027295285357,5.182208449660405,0.3990881495942918
2020-02-20 16:00:00,9544.322290736463,9601.5585,9658.794709263535,1.1922274756444131,0.8167706288255371
2020-02-20 17:00:00,9524.885987583148,9595.8625,9666.83901241685,1.4793149113349973,-0.15354366424161317
2020-02-20 18:00:00,9527.470276679018,9588.045999999998,9648.621723320979,1.2635676408098298,0.06768159645022535
2020-02-20 19:00:00,9524.234442508656,9586.216499999999,9648.198557491341,1.2931495442720884,0.26479886938190556
2020-02-20 20:00:00,9525.175297117627,9584.184,9643.192702882372,1.2313766697795607,0.5238608871441734
2020-02-20 21:00:00,9524.913566674013,9584.6455,9644.377433325988,1.2464088176445853,0.7314046981296441
2020-02-20 22:00:00,9524.950705825953,9586.042000000001,9647.13329417405,1.274588493854878,0.7289033190254458
2020-02-20 23:00:00,9526.225163574903,9587.436,9648.646836425096,1.2768968976709978,0.6188841784396284
2020-02-21 00:00:00,9526.984164374247,9588.6,9650.215835625753,1.2851894046211725,0.6330826713088114
2020-02-21 01:00:00,9525.928636940705,9592.645,9659.361363059295,1.390989931542238,0.9395848133078575
2020-02-21 02:00:00,9524.185146633776,9593.882999999998,9663.58085336622,1.4529644225643001,0.878971499469471
2020-02-21 03:00:00,9512.954462408074,9599.005,9685.055537591925,1.7929053603352767,1.143894873298262
2020-02-21 04:00:00,9509.189510710485,9604.3365,9699.483489289514,1.9813339378418229,0.9692397555969748
2020-02-21 05:00:00,9507.33853154443,9607.933,9708.527468455572,2.0939877173492087,0.8540304009432567
2020-02-21 06:00:00,9506.478486334052,9611.177,9715.875513665947,2.178682458265991,0.802215369560598
2020-02-21 07:00:00,9509.500707286095,9616.360499999999,9723.220292713902,2.2224581267289953,0.7820026993752472
2020-02-21 08:00:00,9515.45478920073,9620.009,9724.56321079927,2.1736821826106323,0.5858932407537468
2020-02-21 09:00:00,9517.796076227773,9623.454,9729.111923772227,2.195842028698369,0.6947132715228317
2020-02-21 10:00:00,9519.081537641272,9627.448499999999,9735.815462358725,2.251208352009914,0.7588035079101085
2020-02-21 11:00:00,9523.38871063909,9633.596999999998,9743.805289360906,2.2879987477347803,0.8021233719630894
2020-02-21 12:00:00,9517.745840039415,9639.2465,9760.747159960583,2.5209576279760877,0.9591065597347063
2020-02-21 13:00:00,9539.976127774886,9650.7075,9761.438872225115,2.2947824752768575,0.8684705533771531
2020-02-21 14:00:00,9560.056691179043,9657.924,9755.791308820959,2.0266738239182245,0.6127853634985803
2020-02-21 15:00:00,9575.901325766828,9666.371000000001,9756.840674233174,1.8718436160410674,0.8295524191140218
2020-02-21 16:00:00,9586.83055591406,9673.467,9760.10344408594,1.7912180624783178,0.8200327563363085
2020-02-21 17:00:00,9595.024007811116,9678.503999999999,9761.983992188882,1.72505982719814,0.7067920653483223
2020-02-21 18:00:00,9604.340575404376,9683.1035,9761.866424595622,1.6268115815476556,0.6453507479410756
2020-02-21 19:00:00,9617.967802500782,9687.383,9756.798197499218,1.4331052565841211,0.5014189976193782
2020-02-21 20:00:00,9633.83473793475,9692.217,9750.59926206525,1.2047246169839152,0.581043451086424
2020-02-21 21:00:00,9636.571604953613,9693.046,9749.520395046387,1.1652558967818196,0.2771910617251399
2020-02-21 22:00:00,9639.409081408343,9693.785500000002,9748.16191859166,1.121882026204497,0.20312958414519192
2020-02-21 23:00:00,9638.25280988321,9692.364,9746.47519011679,1.1165736267599868,0.3985976839881485
2020-02-22 00:00:00,9638.244135569003,9692.3545,9746.464864430996,1.1165576832955693,0.5100304258843544
2020-02-22 01:00:00,9635.060136906164,9691.1985,9747.336863093837,1.1585432512570293,0.18685852185223573
2020-02-22 02:00:00,9631.819629325342,9690.085000000001,9748.35037067466,1.2025770811021512,0.1748068401418231
2020-02-22 03:00:00,9631.17669908015,9689.781500000001,9748.386300919852,1.2096206899990714,0.3360074627137708
2020-02-22 04:00:00,9628.837782893546,9689.2935,9749.749217106453,1.247887002420836,-0.0051920887187704694
2020-02-22 05:00:00,9619.809570708014,9686.99,9754.170429291986,1.3870238183787946,-0.009523388890920394
2020-02-22 06:00:00,9606.539110468422,9682.9835,9759.427889531578,1.5789428853530123,-0.020466580265709224
2020-02-22 07:00:00,9593.51480695031,9677.884000000002,9762.253193049693,1.7435462762250837,0.027766017904965745
2020-02-22 08:00:00,9594.323366466482,9672.681499999999,9751.039633533515,1.6201946385501602,0.3345959836517099
2020-02-22 09:00:00,9590.81531356393,9667.1495,9743.48368643607,1.579249114458611,0.20210267428415835
2020-02-22 10:00:00,9587.039885141363,9664.7,9742.360114858639,1.6070879563491431,0.2830932901572106
2020-02-22 11:00:00,9587.500659015726,9660.4435,9733.386340984272,1.5101344153459013,0.3658298762710739
2020-02-22 12:00:00,9590.94921610809,9656.7805,9722.61178389191,1.3634209432824957,0.4914896084827946
2020-02-22 13:00:00,9593.507981237055,9654.129,9714.750018762947,1.2558568207022263,0.5484237985421964
2020-02-22 14:00:00,9595.612688562609,9651.367,9707.121311437391,1.1553661038356773,0.4945564747877696
2020-02-22 15:00:00,9595.40760966123,9648.874,9702.34039033877,1.1082410307932304,0.39569148085996403
2020-02-22 16:00:00,9598.5982237712,9646.289999999999,9693.981776228798,0.9888107496000935,0.5388955947268809
2020-02-22 17:00:00,9598.739872437178,9646.069,9693.398127562821,0.9813143066428753,0.6837240711538145
2020-02-22 18:00:00,9598.691618555386,9646.189999999999,9693.688381444612,0.9848112352050539,0.6866379386071917
2020-02-22 19:00:00,9599.212239558803,9645.8925,9692.572760441197,0.9678785128736792,0.816488165669315
2020-02-22 20:00:00,9600.304763940241,9645.505000000001,9690.70523605976,0.9372290213889235,0.9445220147398163
